bus,bus_id,name,annual_TWh,annual_pct,year_peak_valley,year_std,year_peak_hour,year_valley_hour,aug_peak_valley,aug_std,aug_peak_hour,jan_peak_valley,jan_std,jan_peak_hour,season_peak_shift
bus_166,166,동울산,7.911037824971202,1.4387972583761428,1.2466823760079788,0.07690739140448895,10,4,1.3790823176691709,0.11314834257989716,14,1.2276213319613782,0.06692125214165888,9,5
bus_60,60,예산,1.6638926430863605,0.3026156903899779,1.2582583946029848,0.08036752982599785,10,3,1.3871406935797654,0.11846283056105995,14,1.2277988743771215,0.06597566481641544,9,5
bus_44,44,서수원,9.99991560787355,1.818705899140817,1.266315956493631,0.08476369386549013,11,3,1.3897432155595038,0.1188201225196397,14,1.2722531615387493,0.08166344088217946,10,4
bus_82,82,울진,0.6037147401827927,0.10979888255298913,1.2583204444561422,0.074711879775941,19,3,1.393963098668479,0.12001562712868435,12,1.1869941182583792,0.05402330126370248,19,7
bus_148,148,김천,2.3381810987341223,0.42524996452760844,1.2512859733677884,0.07962912100194525,10,3,1.3953830049282923,0.12190547916805224,14,1.2198717203548275,0.06434824921583798,9,5
bus_133,133,순천,2.3049338085508837,0.4192032092190844,1.2071393377680604,0.0664716328238335,13,4,1.3984809067339963,0.12094481923341653,13,1.1882717626623682,0.05278608954787045,9,4
bus_139,139,신안,0.3397542445910784,0.061791826363955034,1.2670294789518954,0.08228869932692212,18,3,1.4004343542814524,0.12290962751363194,13,1.2560351364454132,0.07193866758581542,18,5
bus_80,80,태백,0.7906268000080043,0.14379297601883992,1.24210674603805,0.07173956687152408,10,3,1.4057266424751682,0.11970706203084958,13,1.2201654993486744,0.0625874930920911,10,3
bus_76,76,정선,0.6964814060661269,0.12667055318516976,1.2168792461657547,0.06390269141117662,19,3,1.4132120970165138,0.1226861515618297,13,1.1631572413525253,0.045929772275345504,19,6
bus_173,173,의령,0.4352045674058241,0.07915157938440957,1.2117543573922265,0.06556197437368647,10,3,1.4158221434660676,0.1272939162116859,14,1.1570863669749818,0.03691447814444514,8,6
bus_55,55,천안,8.11037304380746,1.4750507781677082,1.2856288203600077,0.089631796835971,11,3,1.4227301336256488,0.12651410261945387,14,1.2948125475749597,0.08645471192990252,10,4
bus_75,75,삼척,0.9884295378748562,0.17976778024032744,1.3173838671529197,0.09544453963123695,10,3,1.4290003491524759,0.12706765287264643,10,1.3073161803372735,0.09493380664224708,10,0
bus_117,117,정읍,1.4130037068716135,0.2569859864789112,1.2449034974882196,0.07542573942468829,10,3,1.434846527101799,0.13065545506631107,13,1.1774891322779952,0.047897288747471116,9,4
